DENISE,DL007@e.ntu.edu.sg,password,SCSE,0
DONG,DON84@e.ntu.edu.sg,password,ADM,0
ERNEST,ELI34@e.ntu.edu.sg,password,EEE,0
LEE,LE51@e.ntu.edu.sg,password,SCSE,3
LIU,SL22@e.ntu.edu.sg,password,NBS,0
RAWAL,AKY013@e.ntu.edu.sg,password,SSS,0
Sam,sam@ntu.edu.sg,password,NBS,0
Denise,denise@ntu.edu.sg,password,CCEB,0
Megan,megan@ntu.edu.sg,password,LKCSOM,0
Troy,troy@ntu.edu.sg,password,EEE,0
Powell,Powell@ntu.edu.sg,password,EEE,0
Tony,Tony@ntu.edu.sg,password,NBS,0
David,David@ntu.edu.sg,password,NBS,0
Max,MAX@ntu.edu.sg,password,NBS,0
Dave,DAVE@ntu.edu.sg,password,NBS,0
Den,den@ntu.edu.sg,password,CCEB,0
Dse,dse@ntu.edu.sg,password,CCEB,0
Dene,dene@ntu.edu.sg,password,CCEB,0
